SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OCCUPATION_TYPE,REGION_RATING_CLIENT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_YEAR
100024,0,Cash loans,F,N,Y,0,156000.0,320000.0,18500.0,335000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12569,-724,-3786,-2376,Sales staff,3,0.4522943248990511,0.6990680608466269,,0,0,-83,2
100025,0,Cash loans,F,N,N,0,127000.0,695000.0,25300.0,725000.0,Working,Secondary / secondary special,Married,House / apartment,-13796,-715,-1511,-5763,Core staff,2,,0.5192175884553673,,0,0,-384,2
100026,0,Cash loans,M,N,Y,0,323000.0,1190000.0,68400.0,1170000.0,Pensioner,Incomplete higher,Married,House / apartment,-18805,365243,-3368,-5185,,2,,0.2815360776051174,0.47835965800972824,1,1,-1545,2
100027,0,Revolving loans,F,Y,Y,0,280000.0,1115000.0,68200.0,1015000.0,Working,Secondary / secondary special,Married,House / apartment,-18912,-1576,-3034,-4021,,1,0.3271904106915477,0.638703488176289,0.5796462588890668,0,0,-400,1
100028,0,Cash loans,F,Y,N,0,176000.0,345000.0,16200.0,345000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13788,-1166,-686,-4773,,2,0.5003545301866895,0.3236254440085547,0.6794728429057527,0,0,-1472,1
100029,0,Cash loans,F,Y,Y,1,309000.0,830000.0,41000.0,735000.0,Working,Secondary / secondary special,Married,House / apartment,-20243,-11093,-3733,-3516,Sales staff,2,,0.16999218162241342,,0,0,-1038,2
100030,0,Cash loans,F,Y,Y,0,275000.0,1305000.0,58100.0,1175000.0,Working,Secondary / secondary special,Married,House / apartment,-10151,-2235,-2530,-398,Sales staff,2,0.7706885923859732,0.408415319938507,0.5749318167447218,0,0,-793,2
100031,0,Cash loans,F,N,Y,0,131000.0,460000.0,27200.0,445000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14363,-6848,-1101,-3789,Laborers,2,0.370788721755028,0.2473242939469476,0.4573656381125621,0,0,-180,2
100032,0,Revolving loans,F,Y,Y,1,448000.0,1460000.0,86000.0,1260000.0,Working,Secondary / secondary special,Married,House / apartment,-19984,-220,-1633,-2574,Managers,3,0.7129336646486747,0.2794585147557584,,0,0,-691,1
100033,0,Cash loans,F,N,N,0,213000.0,450000.0,26400.0,425000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-19529,365243,-1373,-4530,,2,,0.7262039731390006,,0,0,-1177,2
100034,0,Cash loans,M,N,Y,0,122000.0,590000.0,28000.0,600000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20515,-1553,-873,-1594,,2,,0.33676943928696085,0.15450648106282985,0,0,-11,2
100035,0,Cash loans,M,Y,N,0,289000.0,710000.0,38800.0,680000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-17262,365243,-214,-2342,,2,0.5247899908890685,0.31343249428578523,0.3449361966190134,0,0,-2039,1
100036,0,Cash loans,M,N,Y,0,90000.0,310000.0,14000.0,305000.0,Working,Secondary / secondary special,Married,House / apartment,-13538,-6592,-2350,-222,Laborers,2,,0.825650394679852,0.31945311738550897,0,0,-1405,1
100037,0,Cash loans,F,N,N,1,332000.0,910000.0,44400.0,945000.0,Working,Incomplete higher,Civil marriage,House / apartment,-15077,-734,-935,-5236,Laborers,3,,0.7018358921448437,,0,0,-1259,4
100038,0,Cash loans,F,Y,Y,2,84000.0,370000.0,24900.0,330000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14038,-1345,-3689,-2847,,2,,0.41251471893887476,0.4065961783836303,0,0,-444,0
100039,0,Cash loans,M,N,Y,0,152150.0,605000.0,34300.0,600000.0,Working,Lower secondary,Widow,House / apartment,-15466,-2476,-2827,-3074,Sales staff,2,,0.7954477002697679,0.7581350321723939,0,0,-2295,2
100040,1,Cash loans,F,Y,Y,0,130000.0,345000.0,20800.0,325000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15319,-2732,-7048,-4327,Sales staff,2,0.4548746183329932,0.1200614868334763,0.39271051020704595,0,0,-141,1
100041,0,Revolving loans,F,Y,Y,0,160000.0,370000.0,20900.0,385000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19484,-3609,-3600,-2442,,2,0.7924702168136738,0.4647151080750364,0.33828129779966537,0,0,-1090,0
100042,0,Cash loans,F,N,Y,1,221400.00000000003,855000.0,33300.0,820000.0,Commercial associate,Higher education,Married,House / apartment,-19776,-2491,-238,-2910,Sales staff,1,,0.7880479822649361,0.18994398596307824,0,0,-720,2
100043,0,Cash loans,F,N,Y,0,131000.0,515000.0,27800.0,485000.0,Working,Secondary / secondary special,Married,House / apartment,-14657,-7085,-2600,-171,Core staff,3,,0.6521700521625057,0.6250275543982803,0,0,-1514,2
100044,0,Cash loans,M,Y,Y,0,163000.0,390000.0,27100.0,340000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14389,365243,-242,-3455,,2,,0.596744851526689,0.5845647491515509,0,0,-9,2
100045,0,Cash loans,F,Y,Y,0,736000.0,2700000.0,147300.0,2355000.0,Working,Secondary / secondary special,Married,House / apartment,-12877,-2476,-1816,-5935,,2,0.5665507904164931,0.493664500437565,0.7223686941684664,0,0,-140,3
100046,0,Cash loans,M,N,Y,2,122000.0,725000.0,25600.0,715000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18865,-109,-3603,-125,Managers,2,,0.7726412436469731,0.45663633786288177,0,0,-997,0
100047,0,Cash loans,F,Y,Y,0,227000.0,760000.0,40500.0,795000.0,Working,Incomplete higher,Married,House / apartment,-12460,-2368,-5966,-2886,Laborers,2,,0.4662034204586693,0.43432596779248467,0,0,-453,1
100048,0,Cash loans,F,Y,N,0,183000.0,860000.0,31100.0,905000.0,Working,Secondary / secondary special,Married,House / apartment,-13835,-839,-4317,-5901,Drivers,2,0.37441889402701295,0.4700218022160393,0.6100794711130862,0,0,-154,4
100049,0,Cash loans,F,N,Y,1,48000.0,125000.0,7200.0,115000.0,Commercial associate,Incomplete higher,Single / not married,With parents,-12394,-1276,-4105,-3014,Laborers,2,0.43351517962014735,0.4064828404919387,0.3025483448738643,0,0,-2095,1
100050,0,Revolving loans,F,N,N,0,117000.0,645000.0,26500.0,555000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-20026,365243,-13012,-3588,,2,,0.23705427021301817,0.6746436252350457,0,0,-634,1
100051,0,Cash loans,M,Y,Y,0,192000.0,635000.0,38000.0,590000.0,Working,Secondary / secondary special,Married,Municipal apartment,-15606,-1045,-1395,-2253,Core staff,2,,0.567520363407421,0.5233458350624794,0,0,-957,3
100052,1,Cash loans,M,N,N,0,260000.0,735000.0,43500.0,700000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13321,-1551,-5775,-4151,,2,,0.18884015263216125,0.33512944936241784,0,0,-775,2
100053,0,Revolving loans,M,N,Y,2,88000.0,380000.0,18000.0,370000.0,Working,Secondary / secondary special,Married,House / apartment,-18297,-4030,-2186,-3837,Sales staff,2,,0.5831015413174994,0.35795205267070523,0,0,-250,0
100054,0,Cash loans,M,N,N,0,259000.0,1125000.0,53500.0,1035000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19245,365243,-2774,-1252,,2,,0.19565702025692724,,0,0,-497,4
100055,0,Cash loans,F,N,Y,0,162000.0,485000.0,22600.0,435000.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-10492,-354,-2771,-4326,High skill tech staff,3,0.3548940389912934,0.8061104945295096,0.7516643743488447,1,1,-472,2
100056,0,Cash loans,M,N,N,0,375000.0,1315000.0,60600.0,1330000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20450,365243,-5978,-5015,,3,,0.6085226729285992,0.29081618433401163,0,0,-786,2
100057,0,Cash loans,F,Y,N,1,122850.00000000001,385000.0,16700.0,370000.0,Working,Higher education,Married,House / apartment,-21491,-2829,-241,-5306,Core staff,1,,0.5109429515588436,0.33180349111584256,0,0,-1915,1
100058,0,Cash loans,F,Y,Y,0,145800.0,805000.0,46400.0,835000.0,Working,Higher education,Civil marriage,House / apartment,-8020,-1095,-1092,-663,Managers,2,,0.5449354599193842,0.6322285216274057,0,0,-965,5
100059,0,Cash loans,F,N,Y,0,68000.0,295000.0,12200.0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-21195,-2085,-2408,-4952,Laborers,3,,0.23860111803013276,0.5038957210951769,0,0,-561,1
100060,0,Cash loans,F,N,N,0,299700.0,1615000.0,82300.0,1480000.0,Working,Higher education,Civil marriage,With parents,-16609,-2454,-15950,-5341,Laborers,3,0.6401651836160366,0.47803810463110136,,0,0,-1574,1
100061,0,Cash loans,F,N,Y,0,459000.00000000006,1735000.0,105600.0,1760000.0,Working,Higher education,Married,House / apartment,-17248,-885,-162,-4726,Security staff,1,,0.5361116244751487,0.3049409095489775,0,0,-10,2
100062,0,Cash loans,F,N,Y,1,144000.0,270000.0,14000.0,280000.0,Working,Secondary / secondary special,Married,House / apartment,-9511,-1301,-1447,-3577,Medicine staff,1,,0.6091819924579461,,1,1,-1342,0
100063,0,Cash loans,M,N,N,0,152000.0,395000.0,19900.0,365000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-18829,365243,-2880,-1069,,2,,0.34861086917771844,0.8017864394643169,0,0,-2953,1
100064,0,Cash loans,F,N,Y,1,102000.0,515000.0,22900.0,460000.0,Working,Secondary / secondary special,Widow,House / apartment,-17607,-2439,-2251,-5420,Laborers,2,0.45622717938551627,0.2170686516498645,0.5785589628932979,0,0,-682,0
100065,0,Cash loans,F,N,N,1,197100.0,505000.0,27500.0,450000.0,Pensioner,Higher education,Married,House / apartment,-17863,365243,-586,-2569,,2,,0.25372568526086325,0.3694283262425191,0,0,-23,1
100066,0,Cash loans,F,N,Y,2,154000.0,835000.0,33400.0,835000.0,Working,Secondary / secondary special,Separated,With parents,-14569,-1406,-6719,-800,,3,0.4417150057327205,0.27389264636138066,0.5193894173428178,0,0,-609,0
100067,0,Cash loans,F,Y,Y,0,182000.0,555000.0,32700.0,545000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-15846,-57,-3436,-5777,,3,,0.5176271176014471,0.5109098365381994,2,2,-1118,2
100068,0,Cash loans,M,N,Y,0,178000.0,465000.0,17000.0,405000.0,State servant,Secondary / secondary special,Widow,House / apartment,-15630,-1802,-6322,-4978,Sales staff,1,0.5667680171509053,0.5214370834328279,0.24182168517506358,0,0,-1942,0
100069,0,Cash loans,F,N,Y,0,124000.0,290000.0,13400.0,260000.0,Working,Secondary / secondary special,Married,House / apartment,-11785,-5113,-1054,-5984,Laborers,2,,0.5649641474067538,0.6428056682257214,0,0,-1897,0
100070,0,Cash loans,M,N,N,2,88000.0,400000.0,21400.0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,-19932,-2255,-959,-748,Sales staff,2,,0.3148088526500543,0.6172589368282937,0,0,-3398,1
100071,0,Revolving loans,M,N,Y,1,67000.0,365000.0,17100.0,315000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19111,365243,-11275,-4227,,2,,0.3805434935112587,0.5646279503653115,0,0,-100,4
100072,0,Cash loans,F,Y,Y,0,200000.0,840000.0,42000.0,730000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14618,-4072,-1190,-5977,Core staff,3,0.1623834268350599,0.5864597639181759,0.5959115611017751,0,0,-124,3
100073,0,Cash loans,F,N,Y,2,161000.0,605000.0,28500.0,545000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-16892,-433,-11444,-3246,Sales staff,2,,0.3703602059540714,0.41968653113180454,0,0,-13,2
100074,0,Cash loans,M,N,N,1,110000.0,405000.0,14400.0,375000.0,Working,Secondary / secondary special,Separated,House / apartment,-18246,-1315,-8329,-4596,Laborers,2,,0.29419410888188574,0.5048611752646961,0,0,-275,1
100075,0,Revolving loans,M,N,Y,2,79000.0,285000.0,13300.0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15678,-1038,-12621,-4524,Sales staff,2,,0.7401168556040947,0.11436185102331066,0,0,-3227,2
100076,0,Cash loans,M,N,Y,0,151200.0,860000.0,54300.0,835000.0,Commercial associate,Higher education,Married,House / apartment,-21756,-1866,-9181,-317,Sales staff,1,0.8007909975696056,0.6917162376326735,0.7891348498590208,0,0,-1766,2
100077,0,Cash loans,M,Y,Y,1,165000.0,990000.0,73600.0,910000.0,Working,Secondary / secondary special,Married,House / apartment,-21955,-283,-10840,-5314,,2,,0.6952039134582046,0.6434510708087738,0,0,-452,0
100078,0,Cash loans,F,N,Y,1,285000.0,1305000.0,84200.0,1210000.0,Working,Secondary / secondary special,Married,House / apartment,-14371,-1053,-8898,-4717,Laborers,3,,0.5126892229316571,0.29306385855697786,0,0,-1969,1
100079,0,Cash loans,F,N,Y,0,67000.0,315000.0,23800.0,310000.0,State servant,Secondary / secondary special,Widow,House / apartment,-19528,-2169,-2016,-1799,High skill tech staff,3,,0.469360139744926,0.41737271664951503,0,0,-13,2
100080,0,Revolving loans,F,N,Y,2,244350.00000000003,1415000.0,45200.0,1400000.0,State servant,Higher education,Married,House / apartment,-17546,-1366,-4736,-3059,,2,,0.4717914529304827,0.7340313482579176,1,1,-746,3
100081,0,Cash loans,M,N,N,0,143000.0,260000.0,10500.0,270000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-17432,365243,-741,-4159,,2,0.8213360480130023,0.7160786022768493,,1,1,-230,4
100082,1,Cash loans,F,N,N,0,49000.0,135000.0,6800.0,140000.0,Working,Secondary / secondary special,Married,House / apartment,-15548,-242,-2984,-2623,,3,0.2975099762840819,0.43460528453421365,0.15231344028963664,0,0,-855,0
100083,0,Cash loans,F,Y,N,1,531000.0,2895000.0,176900.0,2545000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17091,365243,-609,-2254,,2,,0.3676846047555208,0.48591368013240593,0,0,-2202,1
100084,0,Cash loans,F,N,Y,0,122000.0,575000.0,33600.0,595000.0,Working,Secondary / secondary special,Married,House / apartment,-11304,-1410,-4776,-1089,Core staff,2,0.13218124435068207,0.7928382977607564,0.3855660163252931,0,0,-335,0
100085,0,Cash loans,F,Y,Y,1,91000.0,185000.0,6400.0,190000.0,State servant,Secondary / secondary special,Married,House / apartment,-22121,-2427,-680,-5628,Core staff,2,0.7826571065451657,0.36444891450771166,0.4867632534790791,0,0,-1318,3
100086,0,Cash loans,F,N,Y,0,72000.0,155000.0,7100.0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16088,-1992,-8472,-5148,Sales staff,2,,0.45921411912152443,0.28800704879206757,0,0,-517,0
100087,0,Cash loans,M,Y,N,0,110000.0,380000.0,20200.0,335000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17637,365243,-392,-3499,,2,,0.7424993181101168,0.2582368380388584,0,0,-981,1
100088,0,Cash loans,F,Y,Y,0,159000.0,885000.0,52900.0,880000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20483,-2824,-2026,-5125,Core staff,2,0.49178486071497374,0.4277301121904586,0.4647141008593346,0,0,-817,0
100089,0,Cash loans,M,N,N,0,202000.0,905000.0,48700.0,875000.0,State servant,Secondary / secondary special,Widow,House / apartment,-15801,-778,-13080,-4920,Cleaning staff,2,,0.3029144243654237,0.43336575179855347,0,0,-2037,2
100090,0,Cash loans,F,N,Y,1,207900.0,1165000.0,49200.0,1190000.0,Pensioner,Higher education,Married,House / apartment,-17420,365243,-5701,-888,,2,0.29545637812778874,0.6903663052456575,0.5340003928376661,0,0,-769,2
100091,0,Cash loans,F,N,N,0,189000.0,665000.0,30600.0,665000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17237,365243,-4945,-3504,,2,0.6102198228672326,0.7779864222582438,0.6000215449847665,0,0,-1912,4
100092,0,Cash loans,M,N,Y,0,41000.0,85000.0,4100.0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23476,-2773,-3933,-5919,Sales staff,2,0.8452485278092748,0.6186786818874715,0.3668579049319671,0,0,-538,3
100093,0,Cash loans,M,N,Y,0,205000.0,625000.0,31800.0,595000.0,Pensioner,Secondary / secondary special,Civil marriage,Municipal apartment,-16427,365243,-522,-4685,,3,,0.35954327747971154,,0,0,-250,0
100094,0,Cash loans,F,N,Y,1,111000.0,560000.0,22100.0,510000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19777,365243,-2017,-794,,2,,0.5495011494362958,0.5325520952127837,1,1,-1232,2
100095,0,Cash loans,M,N,N,0,112000.0,450000.0,27600.0,460000.0,Working,Secondary / secondary special,Married,House / apartment,-20157,-1669,-4744,-3933,Core staff,2,,0.6632491071948657,0.42574514569264604,0,0,-396,3
100096,0,Cash loans,F,N,N,1,231000.0,1160000.0,74900.0,1025000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13444,-2453,-342,-2752,Sales staff,2,,0.5133765023634471,0.8287127567815487,0,0,-1120,0
100097,0,Cash loans,F,N,N,0,205000.0,885000.0,50900.0,890000.0,Working,Incomplete higher,Widow,House / apartment,-14554,-1111,-14791,-4732,Laborers,2,,0.5186174656065777,0.5470934794007126,1,1,-216,1
100098,1,Cash loans,F,N,Y,0,98000.0,530000.0,35900.0,465000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19445,365243,-14152,-1489,,1,,0.3613440028404076,0.22902140559404371,0,0,-100,5
100099,0,Cash loans,F,N,N,1,198000.0,510000.0,28200.0,480000.0,Working,Secondary / secondary special,Married,House / apartment,-23600,-394,-2832,-4992,Laborers,2,,0.6083338997387803,0.7733977906833529,0,0,-445,2
100100,0,Cash loans,F,Y,Y,0,294000.0,905000.0,62700.0,860000.0,State servant,Secondary / secondary special,Married,House / apartment,-19080,-8563,-100,-5519,Managers,2,0.6583557989009763,0.4220092078148935,0.2605323918369575,0,0,-852,0
100101,0,Revolving loans,F,N,Y,0,149850.0,770000.0,38900.0,735000.0,Working,Higher education,Married,House / apartment,-16030,-3039,-1603,-3496,Drivers,2,0.4044297425561691,0.391466818685415,0.32600897513405297,0,0,-1690,1
100102,0,Cash loans,F,Y,Y,1,352350.0,1195000.0,85700.0,1195000.0,Working,Higher education,Married,House / apartment,-20395,-2624,-198,-2007,Laborers,1,0.1735476501782308,0.251334915097974,,0,0,-156,3
100103,0,Revolving loans,F,Y,Y,0,79650.0,260000.0,11100.0,265000.0,State servant,Higher education,Single / not married,Municipal apartment,-17704,-4600,-292,-4583,Sales staff,1,,0.7233792672390836,0.45986825301270184,0,0,-536,2
100104,0,Cash loans,F,Y,Y,1,407000.0,1825000.0,78000.0,1580000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12568,-5844,-3540,-5802,Sales staff,3,,0.42424263487487907,,0,0,-905,3
100105,0,Cash loans,M,N,N,1,180900.0,755000.0,30500.0,780000.0,Working,Higher education,Married,House / apartment,-21918,-850,-2421,-3488,Laborers,3,0.5505567879173779,0.10085344357695437,,0,0,-509,0
100106,0,Cash loans,F,Y,Y,0,93000.0,255000.0,12400.0,220000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17171,365243,-13609,-4739,,2,0.3488180017291617,0.6637364287169518,0.5415397546287412,0,0,-401,1
100107,0,Cash loans,F,N,Y,0,221000.0,630000.0,45200.0,600000.0,Working,Secondary / secondary special,Married,House / apartment,-20286,-165,-12414,-2362,Security staff,2,0.24085212855063576,0.3575671259118767,0.3649581681428319,0,0,-844,1
100108,0,Cash loans,M,N,Y,0,146000.0,555000.0,20700.0,480000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20347,-2181,-1463,-3329,,2,,0.6816666818348661,,0,0,-51,1
100109,0,Cash loans,F,N,Y,2,291600.0,1165000.0,64000.0,1220000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-18775,-3632,-836,-387,Laborers,2,,0.5306153774464135,,1,0,-1356,3
100110,0,Cash loans,F,N,Y,2,132300.0,585000.0,33300.0,585000.0,State servant,Higher education,Married,House / apartment,-23257,-2148,-590,-659,Laborers,3,,0.6703224736810293,0.44109671494913505,2,2,-198,4
100111,0,Cash loans,F,N,Y,0,120150.00000000001,620000.0,30200.0,545000.0,Working,Higher education,Married,House / apartment,-13638,-1480,-2376,-5821,,3,,0.5046957404207071,0.32849342432718837,0,0,-1228,3
100112,0,Cash loans,F,N,Y,0,176850.0,1015000.0,49900.0,930000.0,Working,Higher education,Married,House / apartment,-10535,-1442,-6428,-5832,,3,,0.5347067231881175,0.4086633370948088,1,1,-1775,2
100113,0,Cash loans,M,N,Y,0,130000.0,635000.0,33900.0,645000.0,Working,Secondary / secondary special,Married,House / apartment,-14449,-274,-328,-5708,Drivers,2,,0.5926828325699752,0.3495651447185264,0,0,-912,1
100114,0,Cash loans,M,N,Y,0,221400.00000000003,1115000.0,81000.0,1010000.0,Working,Higher education,Married,House / apartment,-12963,-437,-6193,-5227,Laborers,2,,0.6334119629363189,0.6165606372684355,0,0,-455,5
100115,0,Cash loans,F,N,Y,0,165000.0,930000.0,46300.0,930000.0,Working,Secondary / secondary special,Married,House / apartment,-22355,-336,-3760,-2853,Laborers,2,,0.3868927629438745,,0,0,-126,2
